,乘客编号,订单金额,叫车时间
637,342003149,23.97,2020/2/29 11:25
638,258770060,32.8,2020/2/29 11:25
639,388382200,33.88,2020/2/29 11:24
640,13999283,26,2020/2/29 11:23
641,349875687,32.22,2020/2/29 11:23
642,968644028,16.95,2020/2/29 11:23
643,909824293,37.94,2020/2/29 11:23
644,284198247,28.04,2020/2/29 11:22
645,902424761,18.74,2020/2/29 11:21
646,353874661,15.96,2020/2/29 11:20
647,958713495,19.39,2020/2/29 11:20
648,308435480,15.08,2020/2/29 11:20
649,914964899,20.59,2020/2/29 11:19
650,12883835,42.43,2020/2/29 11:19
651,245728761,23.04,2020/2/29 11:18
652,911275998,18.18,2020/2/29 11:18
653,918080544,24.48,2020/2/29 11:18
654,990524439,45.08,2020/2/29 11:17
655,282541587,28.24,2020/2/29 11:17
656,998526749,46.94,2020/2/29 11:16
657,387271689,41.28,2020/2/29 11:16
658,252564079,17.41,2020/2/29 11:15
659,291776243,21.16,2020/2/29 11:15
660,992848703,31.1,2020/2/29 11:15
661,935002528,38.76,2020/2/29 11:15
